event,rib.active_routes_count,rib.backup_routes_count,rib.deleted_routes_count,rib.paths_count,rib.protocol_route_memory,rib.routes_counts,router_id,total_paths,total_prefixes
0,,,,,,,1.1.1.1,null,null
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,null,null
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,8,1,1,9,1528,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
0,11,0,0,11,1760,11,1.1.1.3,42,30
2,8,1,1,9,1528,10,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
0,10,0,1,10,1688,11,1.1.1.3,42,30
2,8,1,1,9,1528,10,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
2,10,0,1,10,1688,11,1.1.1.3,36,30
2,8,1,1,9,1528,10,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
2,10,0,1,10,1688,11,1.1.1.3,36,30
2,8,1,1,9,1528,10,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
2,10,0,1,10,1688,11,1.1.1.3,36,30
2,8,1,1,9,1528,10,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
2,10,0,1,10,1688,11,1.1.1.3,36,30
2,9,1,0,10,1600,10,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,10,0,1,10,1688,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,8,1,0,9,1440,9,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
0,11,0,0,11,1760,11,1.1.1.3,42,30
2,8,1,0,9,1440,9,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
0,10,0,0,10,1600,10,1.1.1.3,42,30
2,8,1,0,9,1440,9,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
2,10,0,0,10,1600,10,1.1.1.3,36,30
2,8,1,0,9,1440,9,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
2,10,0,0,10,1600,10,1.1.1.3,36,30
2,8,1,0,9,1440,9,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
2,10,0,0,10,1600,10,1.1.1.3,36,30
2,8,1,0,9,1440,9,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,null,null
2,10,0,0,10,1600,10,1.1.1.3,36,30
2,9,1,0,10,1600,10,1.1.1.2,36,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,10,0,0,10,1600,10,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,34,26
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
2,11,0,0,11,1760,11,1.1.1.3,36,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,,,,,,,1.1.1.1,null,null
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
0,9,1,0,10,1600,10,1.1.1.2,42,30
0,10,0,0,10,1600,10,1.1.1.4,36,28
0,10,0,0,10,1600,10,1.1.1.1,34,26
0,11,0,0,11,1760,11,1.1.1.3,42,30
